keys,en
DISPLAY_POSITION,Position
DISPLAY_ROTATION,Rotation
DISPLAY_LINEAR_VELOCITY,Linear velocity
DISPLAY_ANGULAR_VELOCITY,Angular velocity
DISPLAY_ACCELERATION,Acceleration
MENU_TOGGLE_ALL,Toggle all trackers $state
MENU_TOGGLE_PASSTHROUGH,Press A to enable passthrough
MENU_PASSTHROUGH_UNSUPPORTED,Passthrough unsupported
MENU_ADDRESS,Address/IP
MENU_PORT,Port
MENU_FAILED_WEBSOCKET,Failed to connect to websocket
MENU_SUCCESS_WEBSOCKET,Connected to websocket
MENU_CONNECTING_WEBSOCKET,Connecting
MENU_CLOSED_WEBSOCKET,Websocket closed
MENU_CLOSING_WEBSOCKET,Closing
